subject_ID	age	score_scaleQuant
sub926	62	68
sub929	48	54.8603515625
sub93	26	27
sub932	24	23
sub934	53.54	46
sub94	20	22
sub940	24	26
sub942	59.74	65.10556640625
sub943	23	23
sub945	23	32
sub948	22	21
sub95	41	37
sub953	21.8097	26
sub958	62.02	61
sub965	48	38
sub966	21	22
sub991	19	18
sub998	56	43.06640625
